col1,name,ra_1,dec_1,flux,x_position,y_position,radius,class_star,img_name,phot_z,mag_r_1,mag_u_1,mag_g,ID,RA_2,DEC_2,Separation_1,z_phot,mag_r_2,mag_u_2,Separation
14273248,KIDS J140541.82+011206.58,211.4242652,1.201827033,2.62E-08,1690.67041,4799.238281,9.842388153,0.028625436,KiDS_DR3.0_211.0_1.5_r_sci.fits,0.289999992,18.52300835,21.51893234,19.96969032,565,211.4242652,1.201827033,1.23E-06,0.29,18.52,21.52,3.845214844
14907796,KIDS J140912.37+030017.87,212.3015341,3.004963588,2.59E-08,14524.02246,19468.90234,9.358772278,0.028641114,KiDS_DR3.0_212.6_2.5_r_sci.fits,0.389999986,18.46613121,21.74017334,20.06309891,434,212.3015341,3.004963588,4.65E-07,0.39,18.47,21.74,0.624847412
15655072,KIDS J141442.39+005216.69,213.6766166,0.871302643,5.73E-08,15199.41113,16673.79102,12.62119865,0.028642327,KiDS_DR3.0_214.0_0.5_r_sci.fits,0.300000012,17.42188263,21.11905479,18.88767433,351,213.6766166,0.871302643,1.73E-06,0.3,17.42,21.12,3.405761719
15969418,KIDS J141825.87+020849.10,214.6077958,2.14697109,1.59E-08,9112.625,4028.018555,9.191137314,0.028770629,KiDS_DR3.0_214.6_2.5_r_sci.fits,0.460000008,18.96725464,23.24137878,20.82914734,450,214.6077958,2.14697109,4.67E-07,0.46,18.97,23.24,4.964447021
16119681,KIDS J142159.02-003525.06,215.4959312,-0.590294209,1.58E-07,549.477417,8415.304688,7.835204124,0.028828902,KiDS_DR3.0_215.0_-0.5_r_sci.fits,0.159999996,16.63421822,19.46215057,17.5810585,669,215.4959312,-0.590294209,5.82E-07,0.16,16.63,19.46,7.745361328
16304966,KIDS J142232.32+000134.79,215.6346875,0.026329876,3.68E-08,16190.93848,1451.753296,9.043169022,0.028634142,KiDS_DR3.0_216.0_0.5_r_sci.fits,0.310000002,18.14107513,21.67738724,19.60549736,674,215.6346875,0.026329876,4.17E-07,0.31,18.14,21.68,9.407043457
17113234,KIDS J142706.62+004314.87,216.7775999,0.720797041,3.44E-08,13375.93555,13974.46387,10.64550018,0.028623126,KiDS_DR3.0_217.0_0.5_r_sci.fits,0.330000013,18.07922935,21.22601128,19.52330399,469,216.7775999,0.720797041,2.19E-08,0.33,18.08,21.23,14.35775757
17115701,KIDS J142720.94+004428.08,216.8372389,0.741134632,3.14E-08,12302.48828,14340.50293,8.91992569,0.028637847,KiDS_DR3.0_217.0_0.5_r_sci.fits,0.439999998,18.37159729,22.27478027,20.02391815,322,216.8372389,0.741134632,7.02E-07,0.44,18.37,22.27,17.20733643
17556119,KIDS J143001.82-015045.15,217.5075719,-1.845874785,3.54E-08,18333.49609,3609.142334,9.410579681,0.028630272,KiDS_DR3.0_218.0_-1.5_r_sci.fits,0.289999992,18.23652267,21.23323822,19.56672668,134,217.5075719,-1.845874785,1.17E-06,0.29,18.24,21.23,11.65924072
18707770,KIDS J144551.29-002941.16,221.4636898,-0.494766478,3.09E-08,1038.711914,10098.91211,13.77640152,0.028561275,KiDS_DR3.0_221.0_-0.5_r_sci.fits,0.419999987,17.93714714,20.77452087,19.36086082,94,221.4636898,-0.494766478,9.51E-07,0.42,17.94,20.77,16.27349854
18717823,KIDS J144230.99-002353.14,220.6291222,-0.398094439,1.80E-08,16060.74316,11839.15234,10.46222687,0.028377134,KiDS_DR3.0_221.0_-0.5_r_sci.fits,0.449999988,18.74285316,22.26968575,20.38560867,737,220.6291222,-0.398094439,7.73E-07,0.45,18.74,22.27,1.132965088
19752088,KIDS J145419.01-000642.72,223.5791923,-0.111866093,3.45E-08,16927.83398,16975.46289,8.736603737,0.028633986,KiDS_DR3.0_224.0_-0.5_r_sci.fits,0.319999993,18.23212433,21.41758728,19.6474514,421,223.5791923,-0.111866093,1.31E-06,0.32,18.23,21.42,8.686065674
20116160,KIDS J150147.07-004958.55,225.4461221,-0.832929606,1.11E-08,1349.352783,4028.745361,9.064287186,0.028613269,KiDS_DR3.0_225.0_-0.5_r_sci.fits,0.479999989,19.49071312,23.70985413,21.10332108,670,225.4461221,-0.832929606,1.48E-06,0.48,19.49,23.71,0.521850586
20359187,KIDS J150314.69+001017.01,225.8112264,0.171390617,1.08E-08,12719.97754,4024.983154,7.711420059,0.02872283,KiDS_DR3.0_226.0_0.5_r_sci.fits,0.540000021,19.6456337,23.0891552,21.41163445,601,225.8112264,0.171390617,1.44E-06,0.54,19.65,23.09,3.0418396
20767482,KIDS J152800.84+004032.24,232.0034882,0.675621349,1.76E-08,9182.216797,13262.19434,9.936171532,0.02862449,KiDS_DR3.0_232.0_0.5_r_sci.fits,0.349999994,18.92986488,22.06017113,20.54561043,337,232.0034882,0.675621349,1.44E-06,0.35,18.93,22.06,0.617980957
21208435,KIDS J153817.80-002435.69,234.5741756,-0.409914803,1.90E-08,17109.79297,11590.33105,9.094641685,0.0286243,KiDS_DR3.0_235.0_-0.5_r_sci.fits,0.319999993,18.88611031,22.92490005,20.36450768,101,234.5741756,-0.409914803,1.07E-06,0.32,18.89,22.92,17.6399231
21575596,KIDS J154514.96+005101.51,236.3123216,0.850420643,5.02E-08,3692.669922,16242.87793,15.59419918,0.028630124,KiDS_DR3.0_236.0_0.5_r_sci.fits,0.239999995,17.41567612,20.89021301,18.75128746,627,236.3123216,0.850420643,1.24E-07,0.24,17.42,20.89,0.769042969
